product_number,product_id,product_code,product_name,match_status,source_count,additional_images_found,confirmed_model_found,aquavo_ready,folder
Product_001,AQUAVO-Research-001,YEE-3006,50W pure steel heating rod YSH-50,تطابق مؤكد 100%,6,نعم,نعم,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_001_YEE-3006_50W_pure_steel_heating_rod_YSH-50
Product_002,AQUAVO-Research-002,C4-1432,"Yee brand aquarium quartz heating rod, 100W",تطابق قوي جدًا,4,نعم,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_002_C4-1432_Yee_brand_aquarium_quartz_heating_rod_100W
Product_003,AQUAVO-Research-003,C4-1103,YEE Black Warrior Heater 100W,تطابق قوي جدًا,4,نعم,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_003_C4-1103_YEE_Black_Warrior_Heater_100W
Product_004,AQUAVO-Research-004,YTZ-300,Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300,تطابق مؤكد 100%,5,نعم,نعم,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_004_YTZ-300_Xiaobai_single-hole_oxygen_pump_3W_non-adjus
Product_005,AQUAVO-Research-005,C5-1144,Enhanced version 1.5 meters/thickened and lengthened,تطابق قوي جدًا,3,نعم,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_005_C5-1144_Enhanced_version_1.5_meters_thickened_and_le
Product_006,AQUAVO-Research-006,YEE-3621,【Thickened airbag for durability】1.7 meters,تطابق قوي جدًا,3,نعم,لا,جاهز بحذر,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_006_YEE-3621_Thickened_airbag_for_durability_1.7_meters
Product_007,AQUAVO-Research-007,C4-1117,High configuration 30W low water level,تطابق محتمل,2,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_007_C4-1117_High_configuration_30W_low_water_level
Product_008,AQUAVO-Research-008,C4-1008,Large suspended isolation box,غير مؤكد,0,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_008_C4-1008_Large_suspended_isolation_box
Product_009,AQUAVO-Research-009,YSL-506,Large pneumatic incubator (double room),غير مؤكد,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_009_YSL-506_Large_pneumatic_incubator_double_room
Product_010,AQUAVO-Research-010,YKL-018,Acrylic incubator 20*10*10,غير مؤكد,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_010_YKL-018_Acrylic_incubator_20x10x10
Product_011,AQUAVO-Research-011,YLL-087,(Blue) New upgraded 6D filter cotton 50*40 two pieces,تطابق محتمل,2,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_011_YLL-087_Blue_New_upgraded_6D_filter_cotton_50x40_two
Product_012,AQUAVO-Research-012,YFF-042,Nano Culture Ring Mixed Pack,تطابق محتمل,2,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_012_YFF-042_Nano_Culture_Ring_Mixed_Pack
Product_013,AQUAVO-Research-013,YAA-009.,High energy culture bricks,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_013_YAA-009._High_energy_culture_bricks
Product_014,AQUAVO-Research-014,NYH-006,3D filter material,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_014_NYH-006_3D_filter_material
Product_015,AQUAVO-Research-015,YLC-410,16-in-1 filter material 2.5kg,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_015_YLC-410_16-in-1_filter_material_2.5kg
Product_016,AQUAVO-Research-016,YLC-409,Six-in-one filter material 500g,تطابق محتمل,1,لا,لا,يحتاج تأكيد,C:\Users\jaafa\Desktop\upload\FishWebClean\AQUAVO_Product_Research_Complete\Product_016_YLC-409_Six-in-one_filter_material_500g
