page,item_code,product_code,requested_product_name,verification_status,verification_status_label,official_source_url,official_product_title,official_image_url,official_text_from_company_site,verification_note
Page 1,1.5.1.7,YEE-3006,50W pure steel heating rod YSH-50,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,https://yeeaquarium.com/wp-content/uploads/2025/03/详情（上）_01.jpg,"Official features: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires

Official product contents: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires","Official YEE stainless aquarium heater page covers 25W-500W, but the exact YSH-50 / YEE-3006 code was not visible on the company site."
Page 1,1.5.1.8,YEE-3007,100W pure steel heating rod YSH-100,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,https://yeeaquarium.com/wp-content/uploads/2025/03/详情（上）_01.jpg,"Official features: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires

Official product contents: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires","Official YEE stainless aquarium heater page covers 25W-500W, but the exact YSH-100 / YEE-3007 code was not visible on the company site."
Page 1,1.5.1.9,YEE-3008,200W pure steel heating rod YSH-200,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-25w-500w-stainless-aquarium-heater/,Yee US Plug 25W-500W Stainless Steel Aquarium Heater,https://yeeaquarium.com/wp-content/uploads/2025/03/详情（上）_01.jpg,"Official features: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires

Official product contents: YEE Aquarium Heater Bimetallic silver-plated contacts, temperature sensing and temperature control at the same time, fluctuation ≤ 0.5°C 90% are nickel-chromium alloy heating wires","Official YEE stainless aquarium heater page covers 25W-500W, but the exact YSH-200 / YEE-3008 code was not visible on the company site."
Page 1,C4-1432-1,C4-1432,"Yee brand aquarium quartz heating rod, 100W",official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-wholesale-aquarium-glass-heater/,YEE Wholesale Aquarium Glass Heater,https://yeeaquarium.com/wp-content/uploads/2025/04/黑武士加热棒_01-732x2048.jpg,"Official features: Step heating Constant temperature intelligent control Explosion-proof and scalding-proof Even heating

Official product contents: This is a super stable, precise temperature control, fish tank heating rod made of quartz glass",Official YEE glass/quartz heater page found; exact C4-1432 code was not visible on the company site.
Page 1,C4-1103-4,C4-1103,YEE Black Warrior Heater 100W,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/metal-aquarium-heater/,Metal Aquarium Heater,https://yeeaquarium.com/wp-content/uploads/2025/09/迷你加热棒_01.jpg,"Official features: External thermostat LED real-time temperature display Automatic constant temperature 11.2cm metal housing

Official product contents: Metal aquarium heater, external independent temperature control, independent module is safer, LED real-time temperature display, temperature at a glance, unique appearance design, automatic constant temperature and power saving to protect fish, dedicated for small tanks, as low as 3cm",Official YEE metal heater page found; exact Black Warrior / C4-1103 name was not visible on the company site.
Page 1,03326,YTZ-300,Xiaobai single-hole oxygen pump 3W (non-adjustable) YTZ-300,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-mini-aquarium-air-pump/,YEE Factory Wholesale High-Quality Mini Aquarium Air Pump 4.4cm Ultra Quiet,https://yeeaquarium.com/wp-content/uploads/2025/12/MINI氧气泵_01.jpg,"Official features: Ultra-quiet operation for small aquariums Compact 4.4cm design saves space Stable airflow with low power use Easy setup for nano and shrimp tanks

Official product contents: The YEE Mini Aquarium Air Pump delivers stable oxygenation in a compact 4.4cm body, designed for nano tanks and small aquariums. Powered by a 10W high-efficiency motor , it provides steady airflow with ultra-quiet performance. Featuring low energy consumption, durable housing, and easy installation, this air pump supports healthy oxygen levels for fish and plants without disturbing daily life. Ideal for small freshwater tanks, desktop aquariums, shrimp tanks, and breeding setups.",Official YEE mini aquarium air pump page found; exact YTZ-300 code was not visible on the company site.
Page 1,07154,YGG-135,YEE 50mm Ball Mineral Bubble Diffuser,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/yee-aquarium-air-stone-oxygen-pump-air-diffuser/,YEE aquarium air stone Oxygen pump air diffuser,https://yeeaquarium.com/wp-content/uploads/2026/01/不锈钢气盘1_01.jpg,Official features: Ultra-Fine Bubbles Stainless Steel Design High Air Diffusion Long-Lasting & Anti-Clog,Official YEE air stone / oxygen pump diffuser page found; exact YGG-135 / 50mm ball model was not visible on the company site.
Page 1,C5-1144-1a,C5-1144,Enhanced version 1.5 meters / thickened and lengthened,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/electric-aquarium-gravel-cleaner/,Electric Aquarium Gravel Cleaner,https://yeeaquarium.com/wp-content/uploads/2025/07/电动换水器-1.jpg,"Official features: 15KPA strong suction 1.3M enhanced length Full body detachable for cleaning Low water level suction, adjustable

Official product contents: 15KPA strong suction, multiple functions, complete water change and cleaning, sand washing artifact, no trouble changing sand, 1.3m long, easy to handle large fish tanks, detachable motor, tool-free disassembly and cleaning, low water level mode, adjustable rain mode Water Changer",Official YEE water changer / gravel cleaner page found; exact C5-1144 1.5m version was not visible on the company site.
Page 1,1.8.3.2,YEE-3621,[Thickened airbag for durability] 1.7 meters,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/electric-aquarium-gravel-cleaner/,Electric Aquarium Gravel Cleaner,https://yeeaquarium.com/wp-content/uploads/2025/07/电动换水器-1.jpg,"Official features: 15KPA strong suction 1.3M enhanced length Full body detachable for cleaning Low water level suction, adjustable

Official product contents: 15KPA strong suction, multiple functions, complete water change and cleaning, sand washing artifact, no trouble changing sand, 1.3m long, easy to handle large fish tanks, detachable motor, tool-free disassembly and cleaning, low water level mode, adjustable rain mode Water Changer",Official YEE water changer / gravel cleaner page found; exact YEE-3621 1.7m version was not visible on the company site.
Page 2,06255,YXL-003,400x230x250mm 5mm thick,official_family_only,Official company page for product family; exact code/variant not visible,https://yeeaquarium.com/product/small-glass-fish-tank/,Small Glass Fish Tank,https://yeeaquarium.com/wp-content/uploads/2024/03/small-glass-fish-tank.webp,"Official features: 5MM thickened fish tank HD small glass fish tank Finely polished glass fish tank Purely hand-pasted glass

Official product contents: The yee small glass fish tank is made of 5MM thickened glass to ensure stability and durability. More than 91% light transmittance brings a high-definition viewing experience. It is finely polished to present a crystal clear visual effect. It is handmade by a master with more than 15 years of experience and carefully crafted from German WACKER glass glue. Filled with glue, every detail demonstrates ingenuity, making it an ideal choice for fish farming enthusiasts. 5MM thickened fish tank The yee fish tank uses 5MM thickened glass material. This design not only enhances the structural stability of the fish tank, but also greatly reduces the risk of deformation caused by external force or water pressure. The use of thickened glass significantly improves the overall endurance of the fish tank, ensuring the safety of the fish tank in long-term use, allowing every fish farming enthusiast to enjoy the fun of fish farming without worrying about the glass breaking. HD small glass fish tank In order to provide the best experience, yee fish tank uses high-definition glass with a light transmittance of over 91%. This kind of glass material can restore the natural colors of fish to the greatest extent, making the scenery in the fish tank clearly visible, as if you are in a miniature underwater world. Whether you are watching the elegant swimming posture of fish or observing their subtle living habits, it can bring you incomparable real visual enjoyment. Finely polished glass fish tank During the production process of yee fish tank, we pay attention to details. We use high-precision grinders to finely process the edges of the glass. This step ensures that the edges of the fish tank are smooth and have no sharp corners. At the same time, it also makes the fish tank show a more three-dimensional and transparent mirror effect. No matter from which angle you look at it, the fish tank is as crystal clear as crystal. It adds a touch of elegance and purity to the home environment. Purely hand-pasted glass The yee fish tank is handmade by a master with more than 15 years of experience. Every process embodies the hard work and wisdom of the craftsman. In the production process of fish tanks, the glue filling process specially uses German WACKER glass glue, and the average thickness of the glue filling is precisely controlled between 1-1.5MM. This ensures the uniformity of the glue strip and the absence of bubbles. This treatment further improves the airtightness and durability of the fish tank. The extreme pursuit of details by yee fish tank is reflected in these aspects. This is the guarantee of its excellent quality. It is also the key to the yee small glass fish tank’s market reputation.","Official small glass fish tank page confirms 5MM thickened glass, but exact YXL-003 dimensions were not visible on the company site."
